Date,Open,High,Low,Close,Volume
2023-02-28,123.62,125.1,122.92,123.53,6491849
2023-03-01,123.78,125.47,122.98,123.68,5530594
2023-03-02,122.16,124.26,120.855,123.78,5260916
2023-03-03,123.99,124.21,121.67,123.6,7052093
2023-03-06,124.28,125.1747,122.03,122.41,7031270
2023-03-07,122.48,122.5,118.28,119.19,8879728
2023-03-08,119.55,121.75,119.35,121.2,7633866
2023-03-09,121.28,121.92,116.94,117.22,8055507
2023-03-10,117.54,118.23,114.53,115.19,6884539
2023-03-13,113.76,116.24,113.28,114.43,7673665
2023-03-14,116.41,117.06,113.92,116.55,8312148
2023-03-15,115.25,116.18,113.14,115.49,8596906
2023-03-16,117.0,120.83,115.91,120.51,11211590
2023-03-17,120.78,122.87,119.15,120.73,12304145
2023-03-20,120.77,122.02,119.81,121.82,5945023
2023-03-21,122.988,125.07,122.15,123.8,6900640
2023-03-22,124.0,126.24,121.87,121.97,7072705
2023-03-23,123.935,127.0,122.1,124.15,7353827
2023-03-24,123.63,124.93,122.25,124.76,6987982
2023-03-27,125.74,126.06,123.32,123.6,4817952
2023-03-28,123.6,123.68,120.21,121.34,5272075
2023-03-29,123.42,125.96,123.25,125.09,6410053
2023-03-30,127.08,128.19,126.43,127.4,8156371
2023-03-31,126.65,127.97,126.29,127.58,6222445
2023-04-03,126.99,127.574,123.605,124.74,6367804
2023-04-04,124.93,125.215,121.81,122.3,6962720
2023-04-05,121.42,123.22,121.25,123.04,6920920
2023-04-06,122.34,123.85,121.05,123.0,5260583
2023-04-10,122.09,124.58,121.675,124.29,5243707
2023-04-11,125.25,125.25,123.17,123.57,5001428
2023-04-12,124.41,124.5,120.1501,120.27,5288338
2023-04-13,120.05,121.66,119.115,121.13,6077122
2023-04-14,120.87,121.92,118.76,120.16,4833111
2023-04-17,119.13,119.84,118.165,119.38,6370194
2023-04-18,120.34,120.8,117.41,118.36,4829930
2023-04-19,117.25,118.69,116.45,118.54,4241940
2023-04-20,117.29,119.9,117.12,118.64,5125024
2023-04-21,117.87,118.19,116.55,117.76,4980658
2023-04-24,117.82,117.83,116.57,117.35,4097906
2023-04-25,116.74,116.84,113.68,114.05,7045163
2023-04-26,114.29,115.1,113.21,114.16,4671130
2023-04-27,113.88,114.3149,112.15,113.92,6945714
2023-04-28,115.095,116.9,113.73,116.8,8652507
2023-05-01,117.21,117.58,115.51,115.84,6208535
2023-05-02,116.13,117.06,114.44,116.11,7081220
2023-05-03,116.66,116.82,112.6,112.83,11491689
2023-05-04,104.03,107.12,103.5,106.58,22117513
2023-05-05,108.21,109.27,105.77,108.78,10745645
2023-05-08,108.375,108.83,106.87,108.31,6694397
2023-05-09,107.0,107.43,105.3,105.77,7804117
2023-05-10,107.0,107.48,105.14,106.46,7980121
2023-05-11,106.29,106.51,103.68,104.06,10630459
2023-05-12,104.47,104.74,102.61,103.62,7635857
2023-05-15,103.76,106.4,102.89,106.28,7444855
2023-05-16,105.67,106.48,103.72,103.79,7031502
2023-05-17,104.19,105.45,103.58,104.81,9504738
2023-05-18,104.81,107.12,104.81,106.96,9141957
2023-05-19,106.95,107.12,105.515,105.86,5783173
2023-05-22,103.672,105.87,103.25,105.28,7912384
2023-05-23,104.07,105.64,103.47,103.56,7452455
2023-05-24,102.08,103.14,101.58,103.02,8193652
2023-05-25,101.93,104.11,101.47,104.02,11677425
2023-05-26,104.94,111.28,104.82,110.35,15969935
2023-05-30,114.5,116.69,112.61,116.0,18291786
2023-05-31,113.56,114.0,111.6,113.41,14923980
2023-06-01,114.56,116.56,112.31,115.83,8616527
2023-06-02,117.24,117.4,114.69,115.62,7873384
